title,name,release_date,popularity,vote_average,vote_count
The Bourne Ultimatum,Action,2007-08-03,15.62,7.4,4440
The Bourne Ultimatum,Drama,2007-08-03,15.62,7.4,4440
The Bourne Ultimatum,Mystery,2007-08-03,15.62,7.4,4440
The Bourne Ultimatum,Thriller,2007-08-03,15.62,7.4,4440
Clash of the Titans,Adventure,2010-04-02,15.574,5.7,3714
Clash of the Titans,Fantasy,2010-04-02,15.574,5.7,3714
Clash of the Titans,Action,2010-04-02,15.574,5.7,3714
The Back-Up Plan,Comedy,2010-04-23,15.49,6.0,806
The Back-Up Plan,Romance,2010-04-23,15.49,6.0,806
Robin Hood,Action,2010-05-14,15.444,6.3,2569
Robin Hood,Adventure,2010-05-14,15.444,6.3,2569
Robin Hood,Drama,2010-05-14,15.444,6.3,2569
Nanny McPhee and the Big Bang,Comedy,2010-08-20,15.213,6.1,953
Nanny McPhee and the Big Bang,Fantasy,2010-08-20,15.213,6.1,953
Nanny McPhee and the Big Bang,Family,2010-08-20,15.213,6.1,953
Shrek Forever After,Comedy,2010-05-16,15.041,6.1,3843
Shrek Forever After,Adventure,2010-05-16,15.041,6.1,3843
Shrek Forever After,Fantasy,2010-05-16,15.041,6.1,3843
Shrek Forever After,Animation,2010-05-16,15.041,6.1,3843
Shrek Forever After,Family,2010-05-16,15.041,6.1,3843
Easy A,Comedy,2010-09-17,14.69,6.8,4168
The Sorcerer's Apprentice,Fantasy,2010-07-13,14.463,5.9,2879
The Sorcerer's Apprentice,Adventure,2010-07-13,14.463,5.9,2879
The Sorcerer's Apprentice,Action,2010-07-13,14.463,5.9,2879
The Sorcerer's Apprentice,Comedy,2010-07-13,14.463,5.9,2879
The Sorcerer's Apprentice,Drama,2010-07-13,14.463,5.9,2879
Scott Pilgrim vs. the World,Action,2010-08-13,14.383,7.3,3882
Scott Pilgrim vs. the World,Comedy,2010-08-13,14.383,7.3,3882
Scott Pilgrim vs. the World,Romance,2010-08-13,14.383,7.3,3882
Grown Ups,Comedy,2010-06-24,14.291,6.1,3171
Some Like It Hot,Comedy,1959-03-18,14.2,8.2,1562
Some Like It Hot,Romance,1959-03-18,14.2,8.2,1562
Faster,Crime,2010-11-23,14.172,6.2,895
Faster,Drama,2010-11-23,14.172,6.2,895
Faster,Action,2010-11-23,14.172,6.2,895
Faster,Thriller,2010-11-23,14.172,6.2,895
The Wolfman,Horror,2010-02-12,14.03,5.7,1009
Unstoppable,Action,2010-11-12,14.01,6.4,1913
Unstoppable,Thriller,2010-11-12,14.01,6.4,1913
Black Swan,Drama,2010-12-03,13.745,7.6,8374
Black Swan,Thriller,2010-12-03,13.745,7.6,8374
Tinker Bell and the Great Fairy Rescue,Animation,2010-09-21,13.724,6.5,451
Tinker Bell and the Great Fairy Rescue,Adventure,2010-09-21,13.724,6.5,451
Tinker Bell and the Great Fairy Rescue,Family,2010-09-21,13.724,6.5,451
Tinker Bell and the Great Fairy Rescue,Fantasy,2010-09-21,13.724,6.5,451
Three Steps Above Heaven,Romance,2010-12-20,13.721,7.5,960
Three Steps Above Heaven,Drama,2010-12-20,13.721,7.5,960
Centurion,Adventure,2010-02-15,13.548,6.1,673
Centurion,Action,2010-02-15,13.548,6.1,673
Centurion,Drama,2010-02-15,13.548,6.1,673
The Other Guys,Action,2010-08-06,13.508,6.2,2187
The Other Guys,Comedy,2010-08-06,13.508,6.2,2187
The Other Guys,Crime,2010-08-06,13.508,6.2,2187
The Town,Crime,2010-09-17,13.476,7.1,2386
The Town,Drama,2010-09-17,13.476,7.1,2386
The Town,Thriller,2010-09-17,13.476,7.1,2386
Jonah Hex,Action,2010-06-18,13.467,4.6,708
Jonah Hex,Western,2010-06-18,13.467,4.6,708
Jonah Hex,Drama,2010-06-18,13.467,4.6,708
Jonah Hex,Fantasy,2010-06-18,13.467,4.6,708
Jonah Hex,Thriller,2010-06-18,13.467,4.6,708
TRON: Legacy,Adventure,2010-12-10,13.459,6.3,4387
TRON: Legacy,Action,2010-12-10,13.459,6.3,4387
TRON: Legacy,Science Fiction,2010-12-10,13.459,6.3,4387
Prince of Persia: The Sands of Time,Adventure,2010-05-27,13.44,6.2,4040
Prince of Persia: The Sands of Time,Fantasy,2010-05-27,13.44,6.2,4040
Prince of Persia: The Sands of Time,Action,2010-05-27,13.44,6.2,4040
Prince of Persia: The Sands of Time,Romance,2010-05-27,13.44,6.2,4040
The Great Mouse Detective,Comedy,1986-07-02,13.348,7.1,769
The Great Mouse Detective,Animation,1986-07-02,13.348,7.1,769
The Great Mouse Detective,Family,1986-07-02,13.348,7.1,769
The Lovely Bones,Fantasy,2010-01-15,13.285,6.8,2226
The Lovely Bones,Drama,2010-01-15,13.285,6.8,2226
All About Eve,Drama,2000-10-06,13.163,8.2,685
True Grit,Drama,2010-12-22,13.118,7.2,2816
True Grit,Adventure,2010-12-22,13.118,7.2,2816
True Grit,Western,2010-12-22,13.118,7.2,2816
I Spit on Your Grave,Thriller,2010-10-08,13.102,6.3,977
I Spit on Your Grave,Crime,2010-10-08,13.102,6.3,977
I Spit on Your Grave,Horror,2010-10-08,13.102,6.3,977
Kick-Ass,Action,2010-04-16,13.08,7.1,7540
Kick-Ass,Crime,2010-04-16,13.08,7.1,7540
Robot Chicken: Star Wars Episode III,Comedy,2010-12-19,13.062,7.5,60
Robot Chicken: Star Wars Episode III,Science Fiction,2010-12-19,13.062,7.5,60
Robot Chicken: Star Wars Episode III,Animation,2010-12-19,13.062,7.5,60
Salt,Action,2010-07-23,13.025,6.3,3240
Salt,Mystery,2010-07-23,13.025,6.3,3240
Salt,Thriller,2010-07-23,13.025,6.3,3240
Legend of the BoneKnapper Dragon,TV Movie,2010-10-15,13.013,6.4,116
Legend of the BoneKnapper Dragon,Animation,2010-10-15,13.013,6.4,116
Legend of the BoneKnapper Dragon,Fantasy,2010-10-15,13.013,6.4,116
Legend of the BoneKnapper Dragon,Family,2010-10-15,13.013,6.4,116
From Paris with Love,Action,2010-02-05,12.862,6.2,1075
From Paris with Love,Crime,2010-02-05,12.862,6.2,1075
From Paris with Love,Thriller,2010-02-05,12.862,6.2,1075
Batman: Under the Red Hood,Action,2010-07-27,12.704,7.7,756
Batman: Under the Red Hood,Animation,2010-07-27,12.704,7.7,756
Batman: Under the Red Hood,Mystery,2010-07-27,12.704,7.7,756
Arthur 3: The War of the Two Worlds,Animation,2010-08-22,12.679,5.6,865
Arthur 3: The War of the Two Worlds,Adventure,2010-08-22,12.679,5.6,865
Arthur 3: The War of the Two Worlds,Fantasy,2010-08-22,12.679,5.6,865
Arthur 3: The War of the Two Worlds,Family,2010-08-22,12.679,5.6,865
Tooth Fairy,Comedy,2010-01-22,12.65,5.3,1058
Tooth Fairy,Family,2010-01-22,12.65,5.3,1058
Tooth Fairy,Fantasy,2010-01-22,12.65,5.3,1058
Machete,Action,2010-09-03,12.557,6.3,1862
Machete,Comedy,2010-09-03,12.557,6.3,1862
Machete,Thriller,2010-09-03,12.557,6.3,1862
The Secret in Their Eyes,Crime,2010-04-16,12.531,7.9,1141
The Secret in Their Eyes,Drama,2010-04-16,12.531,7.9,1141
The Secret in Their Eyes,Mystery,2010-04-16,12.531,7.9,1141
The Secret in Their Eyes,Romance,2010-04-16,12.531,7.9,1141
Date Night,Comedy,2010-04-08,12.498,6.0,1743
Due Date,Comedy,2010-11-04,12.445,6.3,2973
Due Date,Drama,2010-11-04,12.445,6.3,2973
Repo Men,Action,2010-03-19,12.437,6.2,976
Repo Men,Science Fiction,2010-03-19,12.437,6.2,976
Repo Men,Thriller,2010-03-19,12.437,6.2,976
Repo Men,Crime,2010-03-19,12.437,6.2,976
Superman/Shazam!: The Return of Black Adam,Animation,2010-11-09,12.395,7.1,140
Superman/Shazam!: The Return of Black Adam,Action,2010-11-09,12.395,7.1,140
Summer Wars,Animation,2010-10-13,12.275,7.5,447
The Karate Kid,Action,2010-06-10,12.256,6.3,3140
The Karate Kid,Adventure,2010-06-10,12.256,6.3,3140
The Karate Kid,Drama,2010-06-10,12.256,6.3,3140
The Karate Kid,Family,2010-06-10,12.256,6.3,3140
Diary of a Wimpy Kid,Comedy,2010-03-19,12.256,6.0,736
Diary of a Wimpy Kid,Family,2010-03-19,12.256,6.0,736
The Crazies,Mystery,2010-02-26,12.246,6.2,1036
The Crazies,Horror,2010-02-26,12.246,6.2,1036
The Crazies,Action,2010-02-26,12.246,6.2,1036
The Girl Who Kicked the Hornet's Nest,Action,2010-10-29,12.235,7.0,705
The Girl Who Kicked the Hornet's Nest,Thriller,2010-10-29,12.235,7.0,705
The Girl Who Kicked the Hornet's Nest,Crime,2010-10-29,12.235,7.0,705
The Girl Who Kicked the Hornet's Nest,Mystery,2010-10-29,12.235,7.0,705
Little Fockers,Comedy,2010-12-21,12.153,5.6,1883
Little Fockers,Romance,2010-12-21,12.153,5.6,1883
RED,Action,2010-10-14,12.082,6.6,4162
RED,Adventure,2010-10-14,12.082,6.6,4162
RED,Comedy,2010-10-14,12.082,6.6,4162
RED,Crime,2010-10-14,12.082,6.6,4162
RED,Thriller,2010-10-14,12.082,6.6,4162
Dear John,Drama,2010-02-04,12.048,6.8,2676
Dear John,Romance,2010-02-04,12.048,6.8,2676
Dear John,War,2010-02-04,12.048,6.8,2676
Legion,Horror,2010-01-22,12.032,5.3,1154
Tales from Earthsea,Adventure,2010-08-13,12.005,6.6,502
Tales from Earthsea,Fantasy,2010-08-13,12.005,6.6,502
Tales from Earthsea,Animation,2010-08-13,12.005,6.6,502
Tales from Earthsea,Science Fiction,2010-08-13,12.005,6.6,502
Leap Year,Romance,2010-01-08,11.821,6.7,990
Leap Year,Comedy,2010-01-08,11.821,6.7,990
Life As We Know It,Comedy,2010-10-02,11.806,6.8,1748
Life As We Know It,Romance,2010-10-02,11.806,6.8,1748
Life As We Know It,Drama,2010-10-02,11.806,6.8,1748
The Girl Who Played with Fire,Drama,2010-07-09,11.655,7.0,881
The Girl Who Played with Fire,Action,2010-07-09,11.655,7.0,881
The Girl Who Played with Fire,Thriller,2010-07-09,11.655,7.0,881
The Girl Who Played with Fire,Crime,2010-07-09,11.655,7.0,881
The Girl Who Played with Fire,Mystery,2010-07-09,11.655,7.0,881
Fair Game,Drama,2010-05-20,11.624,6.6,384
Fair Game,Thriller,2010-05-20,11.624,6.6,384
Camp Rock 2: The Final Jam,Comedy,2010-09-03,11.542,6.1,878
