release_date,movie,production_budget,domestic_gross,domestic_profit,domestic_ROI,Year
10/25/2013,The Square,1500000,124244,-1375756,-91.71706667,2013
7/26/2013,The To Do List,1500000,3491669,1991669,132.7779333,2013
3/23/2018,Unsane,1500000,7690044,6190044,412.6696,2018
4/22/2016,Unsullied,1500000,510957,-989043,-65.9362,2016
4/5/2013,Eddie: The Sleepwalking Cannibal,1400000,1632,-1398368,-99.88342857,2013
12/31/2014,House at the End of the Drive,1400000,0,-1400000,-100,2014
12/31/2014,Kurmanjan datka,1400000,0,-1400000,-100,2014
10/3/2014,La chambre bleue,1400000,260441,-1139559,-81.39707143,2014
11/20/2015,Mustang,1400000,845464,-554536,-39.60971429,2015
5/1/2010,My Girlfriend's Boyfriend,1400000,0,-1400000,-100,2010
11/30/2018,Werk ohne Autor,1400000,1303747,-96253,-6.875214286,2018
1/30/2015,Above and Beyond,1300000,288751,-1011249,-77.78838462,2015
5/24/2011,Forget Me Not,1300000,0,-1300000,-100,2011
6/13/2014,Los insolitos peces gato,1300000,11278,-1288722,-99.13246154,2014
6/8/2010,The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,1300000,0,-1300000,-100,2010
6/26/2015,The Algerian,1300000,0,-1300000,-100,2015
12/31/2016,Bodom,1250000,0,-1250000,-100,2016
1/13/2015,Da Sweet Blood of Jesus,1250000,0,-1250000,-100,2015
10/17/2014,Dear White People,1250000,4404154,3154154,252.33232,2014
4/19/2013,Filly Brown,1250000,2850357,1600357,128.02856,2013
9/14/2012,Airborne,1200000,0,-1200000,-100,2012
8/28/2012,Below Zero,1200000,0,-1200000,-100,2012
2/3/2015,Bleeding Hearts,1200000,0,-1200000,-100,2015
2/6/2018,Blood Feast,1200000,8708,-1191292,-99.27433333,2018
4/13/2012,Blue Like Jazz,1200000,595018,-604982,-50.41516667,2012
2/11/2011,Certifiably Jonathan,1200000,7826,-1192174,-99.34783333,2011
9/9/2014,Cotton Comes to Harlem,1200000,0,-1200000,-100,2014
9/7/2012,Crowsnest,1200000,0,-1200000,-100,2012
4/19/2013,Home Run,1200000,2859955,1659955,138.3295833,2013
9/18/2015,La navaja de Don Juan,1200000,4254,-1195746,-99.6455,2015
6/1/2012,"Pink Ribbons, Inc.",1200000,26608,-1173392,-97.78266667,2012
8/28/2015,Que Horas Ela Volta?,1200000,376976,-823024,-68.58533333,2015
12/31/2017,The Islands,1200000,0,-1200000,-100,2017
12/31/2013,The Wicked Within,1200000,0,-1200000,-100,2013
3/21/2014,God's Not Dead,1150000,60755732,59605732,5183.10713,2014
5/18/2012,Beyond the Black Rainbow,1100000,56491,-1043509,-94.86445455,2012
3/7/2017,Departure,1100000,0,-1100000,-100,2017
3/23/2010,Lake Mungo,1100000,0,-1100000,-100,2010
3/23/2012,Serbuan maut,1100000,4105123,3005123,273.193,2012
4/7/2015,Silent Running,1100000,0,-1100000,-100,2015
12/31/2010,The Dead Undead,1100000,0,-1100000,-100,2010
11/21/2014,The Sleepwalker,1100000,2636,-1097364,-99.76036364,2014
12/31/2013,The Vatican Exorcisms,1100000,0,-1100000,-100,2013
3/1/2016,1982,1000000,0,-1000000,-100,2016
9/3/2010,16 to Life,1000000,11574,-988426,-98.8426,2010
6/14/2013,20 Feet From Stardom,1000000,4946250,3946250,394.625,2013
10/24/2014,23 Blast,1000000,549185,-450815,-45.0815,2014
6/24/2014,A Fine Step,1000000,0,-1000000,-100,2014
2/3/2010,Ajami,1000000,621859,-378141,-37.8141,2010
12/11/2015,American Hero,1000000,0,-1000000,-100,2015
7/28/2017,An Inconvenient Sequel,1000000,3496795,2496795,249.6795,2017
11/28/2014,Antarctica: A Year on Ice,1000000,288757,-711243,-71.1243,2014
12/31/2014,Bang Bang Baby,1000000,0,-1000000,-100,2014
7/31/2015,Beyond the Brick: A LEGO Brickumentary,1000000,101531,-898469,-89.8469,2015
5/14/2013,Black Rock,1000000,0,-1000000,-100,2013
12/29/2010,Blue Valentine,1000000,9737892,8737892,873.7892,2010
10/17/2014,Camp X-Ray,1000000,9837,-990163,-99.0163,2014
12/31/2016,Chemical Cut,1000000,0,-1000000,-100,2016
5/25/2012,Chernobyl Diaries,1000000,18119640,17119640,1711.964,2012
5/15/2015,Childless,1000000,1036,-998964,-99.8964,2015
3/11/2016,Creative Control,1000000,63014,-936986,-93.6986,2016
12/31/2014,Doc Holliday's Revenge,1000000,0,-1000000,-100,2014
2/10/2015,Fear Clinic,1000000,0,-1000000,-100,2015
6/1/2012,Hardflip,1000000,96734,-903266,-90.3266,2012
12/31/2013,Heli,1000000,0,-1000000,-100,2013
3/11/2016,"Hello, My Name is Doris",1000000,14444999,13444999,1344.4999,2016
1/7/2014,Hidden Away,1000000,0,-1000000,-100,2014
2/13/2015,Hits,1000000,15156,-984844,-98.4844,2015
4/8/2016,Hush,1000000,0,-1000000,-100,2016
2/3/2017,I Am Not Your Negro,1000000,7123919,6123919,612.3919,2017
7/18/2014,I Origins,1000000,336472,-663528,-66.3528,2014
12/31/2015,Karachi se Lahore,1000000,0,-1000000,-100,2015
10/21/2011,Martha Marcy May Marlene,1000000,2981038,1981038,198.1038,2011
10/4/2013,My Last Day Without You,1000000,0,-1000000,-100,2013
6/6/2014,Obvious Child,1000000,3122616,2122616,212.2616,2014
3/23/2012,October Baby,1000000,5355847,4355847,435.5847,2012
5/9/2014,Palo Alto,1000000,767732,-232268,-23.2268,2014
8/18/2017,Patti Cake$,1000000,800148,-199852,-19.9852,2017
12/22/2015,Por amor en el caserio,1000000,0,-1000000,-100,2015
3/20/2012,Snow White: A Deadly Summer,1000000,0,-1000000,-100,2012
7/19/2013,The Act of Killing,1000000,486919,-513081,-51.3081,2013
1/6/2012,The Devil Inside,1000000,53262945,52262945,5226.2945,2012
7/29/2011,The Future,1000000,568662,-431338,-43.1338,2011
9/25/2015,The Green Inferno,1000000,7192291,6192291,619.2291,2015
10/27/2015,The Horror Network,1000000,0,-1000000,-100,2015
4/8/2016,The Invitation,1000000,231738,-768262,-76.8262,2016
7/1/2011,The Perfect Host,1000000,48764,-951236,-95.1236,2011
3/10/2015,The Pet,1000000,0,-1000000,-100,2015
10/19/2012,The Sessions,1000000,6002451,5002451,500.2451,2012
4/10/2015,The Sisterhood of Night,1000000,6870,-993130,-99.313,2015
9/12/2014,The Skeleton Twins,1000000,5284309,4284309,428.4309,2014
10/9/2012,Truth or Die,1000000,0,-1000000,-100,2012
4/17/2015,Unfriended,1000000,32789645,31789645,3178.9645,2015
7/20/2018,Unfriended: Dark Web,1000000,8866745,7866745,786.6745,2018
10/6/2017,Visages villages,1000000,952432,-47568,-4.7568,2017
8/23/2013,You're Next,1000000,18494006,17494006,1749.4006,2013
10/8/2013,Zombie Hunter,1000000,0,-1000000,-100,2013
1/29/2010,Zombies of Mass Destruction,1000000,0,-1000000,-100,2010
3/3/2015,Ask Me Anything,950000,0,-950000,-100,2015
1/10/2014,Banshee Chapter,950000,0,-950000,-100,2014
8/12/2014,Jesse,950000,0,-950000,-100,2014
12/31/2012,Trance,950000,0,-950000,-100,2012
4/13/2012,L!fe Happens,930000,30905,-899095,-96.67688172,2012
5/12/2017,Lowriders,916000,6179955,5263955,574.6675764,2017
